Product,EOL Announced,End of Support
"JNP10008-FAN, JNP10008-FAN-BB, JNP10008-FAN-CTRL, JNP10008-SF, JNP10008-SF-BB, JNP10008-SF-BLNK, JNP10008-SF-R, JNP10008FANCTRL-BB, JNP10K-PWR-AC, JNP10K-PWR-AC-BB, JNP10K-PWR-AC-R, JNP10K-PWR-DC, JNP10K-PWR-DC-BB, JNP10K-PWR-DC-R",06/13/2022,04/03/2029
"CB2-PTX-BB, CB2-PTX-R, CB2-PTX-S, CBL-PTX-AC-D-S, CBL-PTX-AC-W-S, CBL2-PTX-100AC-D-S, CBL2-PTX-150AC-D-S, CBL2-PTX-AC-W-S, CBL2-PTX-SP-AU, CBL2-PTX-SP-CH, CBL2-PTX-SP-EU, CBL2-PTX-SP-INTL, CBL2-PTX-SP-INTL30, CBL2-PTX-SP-IT, CBL2-PTX-SP-NA-I, CBL2-PTX-SP-SA, CBL2-PTX-SP-UK, CBL2-PTX-SP-US-30A, CBL2-PTX-SP-US-L, CBL2-PTX-SP-US-N, CCG-BLANK-PTX, CCG-PTX-BB, CCG-PTX-R, CCG-PTX-S, CHAS-MP2-PTX5K-S, CRAFT-PTX5000-S, FAN-PTX-H-BB, FAN-PTX-H-S, FAN-PTX-V-BB, FAN-PTX-V-S, FAN3-PTX-H-BB, FAN3-PTX-H-S, FLTR-PTX-KIT-S, FPC-BLANK-PTX, FPC2-PTX-P1A, FPC3-PTX-2H, FPC3-PTX-2H-IR, FPC3-PTX-2H-R, FPC3-PTX-2T, FPC3-PTX-2T-IR, FPC3-PTX-2T-R, FPC3-PTX-3H, FPC3-PTX-3H-IR, FPC3-PTX-3H-R, FPC3-PTX-3T, FPC3-PTX-3T-IR, FPC3-PTX-3T-R, FPC3-PTX-U1-L, FPC3-PTX-U1-R, FPC3-PTX-U2, FPC3-PTX-U2-L, FPC3-PTX-U2-R, FPC3-PTX-U3, FPC3-PTX-U3-L, FPC3-PTX-U3-R, FPC3-PTX-U3H-L, FPC3-PTX-U3H-R, P1-PTX-2-100GE-CFP, P1-PTX-2-40GE-CFP, P1-PTX-24-10G-W-SFPP, P1-PTX-24-10GE-SFPP, P2-100GE-CFP2, P2-100GE-OTN, P2-10G-40G-QSFPP, P3-10-U-QSFP28, P3-15-U-QSFP28, P3-24-U-QSFP28, PDU2-PTX-AC-D-BB, PDU2-PTX-AC-D-R, PDU2-PTX-AC-D-S, PDU2-PTX-AC-SP-BB, PDU2-PTX-AC-SP-R, PDU2-PTX-AC-SP-S, PDU2-PTX-AC-W-BB, PDU2-PTX-AC-W-R, PDU2-PTX-AC-W-S, PDU2-PTX-DC-BB, PDU2-PTX-DC-R, PDU2-PTX-DC-S, PIC-BLANK-PTX, PKG-PTX5000-S, PSM-BLANK-PTX, PSM2-BLANK-PTX, PSM2-PTX-AC-BB, PSM2-PTX-AC-R, PSM2-PTX-AC-S, PSM2-PTX-DC-BB, PSM2-PTX-DC-R, PSM2-PTX-DC-S, PTX5000-DOOR-BB, PTX5000-DOOR-S, PTX5000BASE2, PTX5K-FPC3-UPG-KIT, PTX5K-PSM2TRAY-BB, PTX5K-PSM2TRAY-S, RE-PTX-X8-128G-S-B, RE-PTX-X8-128G-S-R, RE-PTX-X8-128G-S-S, RE-PTX-X8-64G-BB, RE-PTX-X8-64G-R, RE-PTX-X8-64G-S, S-JFLOW-CH-PTX5K, S-P1-24-10G-T-OTN, SIB2-I-PTX5K-BB, SIB2-I-PTX5K-S, SIB3-PTX5K-BB, SIB3-PTX5K-S",06/13/2022,04/03/2029
"JNP10K-LC1101, JNP10K-LC1102, PTX10K-LC1101, PTX10K-LC1101-A, PTX10K-LC1101-IR, PTX10K-LC1101-R, PTX10K-LC1101H, PTX10K-LC1101H-IR, PTX10K-LC1101H-R, PTX10K-LC1102, PTX10K-LC1102-A, PTX10K-LC1102-IR, PTX10K-LC1102-R, PTX10K-LC1102H, PTX10K-LC1102H-IR, PTX10K-LC1102H-R, PTX10K-LC1105, PTX10K-LC1105-A, PTX10K-LC1105-IR, PTX10K-LC1105-R, JNP10K-RE0, JNP10K-RE0-BB, JNP10K-RE0-R, PTX10008-BASE, PTX10008-PREMIUM, PTX10016-BASE, PTX10016-PREMIUM",06/13/2022,04/03/2029
JNP10K-LC1105,06/13/2022,12/31/2030
"PTX1000-18Q-AC, PTX1000-18Q-AC-L, PTX1000-18Q-DC, PTX1000-18Q-DC-L, PTX1000-72Q-AC, PTX1000-72Q-AC-L, PTX1000-72Q-CHAS-S, PTX1000-72Q-DC, PTX1000-72Q-DC-L, PTX1000-BP-AC-B, PTX10002-60C-AC, PTX10002-60C-AC-IR, PTX10002-60C-AC-R, PTX10002-60C-DC, PTX10002-60C-DC-IR, PTX10002-60C-DC-R, PTX10K2-60C-H-AC, PTX10K2-60C-H-AC-R, PTX10K2-60C-H-ACIR, PTX10K2-60C-H-DC, PTX10K2-60C-H-DC-R, PTX10K2-60C-H-DCIR, PTX1K-18Q-AC, PTX1K-18Q-AC-IR, PTX1K-18Q-AC-R, PTX1K-18Q-DC, PTX1K-18Q-DC-IR, PTX1K-18Q-DC-R, PTX1K-36Q-AC, PTX1K-36Q-AC-IR, PTX1K-36Q-AC-R, PTX1K-36Q-DC, PTX1K-36Q-DC-IR, PTX1K-36Q-DC-R, PTX1K-72Q-AC, PTX1K-72Q-AC-A, PTX1K-72Q-AC-IR, PTX1K-72Q-AC-R, PTX1K-72Q-DC, PTX1K-72Q-DC-A, PTX1K-72Q-DC-IR, PTX1K-72Q-DC-R, PTX1000-FAN-S",04/22/2022,10/22/2028
PTX-5-100G-WDM,04/11/2022,04/11/2026
JNP10K-PWR-AC2H,03/31/2022,03/31/2027
"PTX3000BASE, FPC3-SFF-PTX-1H-IR, FPC3-SFF-PTX-1H-R, FPC3-SFF-PTX-1T-IR, FPC3-SFF-PTX-1T-R, FPC-SFF-PTX-P1-A, FPC-SFF-PTX-T, FPC3-SFF-PTX-1H, FPC3-SFF-PTX-1T, S-FPC3-1H-IR-BW-UP, S-FPC3-1H-R-BW-UP, S-FPC3-1H-SCA-UP, S-FPC3-1T-SCA-UP, SIB3-SFF-PTX-BB, SIB3-SFF-PTX-S, SIB-SFF-PTX-240-BB, SIB-SFF-PTX-240-S, CB-SFF-PTX-BB, CB-SFF-PTX-R, CB-SFF-PTX-S, RCB-PTX-X6-32G-BB, RCB-PTX-X6-32G-R, RCB-PTX-X6-32G-S, RCB-PTX-X6-LT-S, PSM-SFF-PTX-AC-BB, PSM-SFF-PTX-AC-R, PSM-SFF-PTX-AC-S, PSM-SFF-PTX-DC-BB, PSM-SFF-PTX-DC-R, PSM-SFF-PTX-DC-S, FAN-SFF-PTX-BB, FAN-SFF-PTX-S, FLTR-SFF-PTX-S, FPD-SFF-PTX-S, PTX3000-DOOR-S, SFF-PSM-BLNK, SFF-SLOT-BLNK, PKG-PTX3000-S, S-JFLOW-CH-PTX3K, PTX3K-FPC3-UPG-KIT, CHAS-MP-PTX3000-S, CBL-PTX-LA-AU, CBL-PTX-LA-CH, CBL-PTX-LA-EU, CBL-PTX-LA-INTL, CBL-PTX-LA-IT, CBL-PTX-LA-JP, CBL-PTX-LA-UK, CBL-PTX-LA-US, CBL-PTX-LA-US-C20, CBL-PTX-LA-US-L, RCB-CC-BB, RCB-CC-R, RCB-CC-S, FPC3-SFF-PTX-U1, SIB-SFF-PTX-240-R, FPC3-SFF-PTX-U0-L, FPC3-SFF-PTX-U0-R, FPC3-SFF-PTX-U1-L, FPC3-SFF-PTX-U1-R, PTX3K-DEP-BNDL, PTX3K-DEP-BNDL-AC, S-FPC3-1H-BW-UP, S-FPC3-SFF-PTX-0-L, S-FPC3-SFF-PTX-0-R, S-FPC3-SFF-PTX-1-L, S-FPC3-SFF-PTX-1-R, S-FPC3-SFF-PTX-1H, S-FPC3-SFF-PTX-1T, S-SFF3-PTX-UPG-1-L, S-SFF3-PTX-UPG-1-R",03/25/2021,03/31/2027
"PTX-ILA-M-AC, PTX-ILA-M-DC, PTX-ILA-M-CHAS, PTX-IPLC-B-32, PTX-IPLC-E-32, CFP2-100G-SR10-D2, RE-DUO-C2600-16G-BB, RE-DUO-C2600-16G-R, RE-DUO-C2600-16G-S, RE-DUO-C2600-16G-WW-S, FAN-ILA-S",09/30/2020,03/31/2023
"PTX10001-20C-AO, PTX10001-20C-DO, PTX10001-36C-AO, PTX10001-36C-AO-M, PTX10001-36C-DO, PTX10001-36C-DO-M, JNP10001-16C-PIC, S-PTX10001-MACSEC",05/20/2020,12/31/2024
S-PTX10001-MACSEC,05/20/2020,12/31/2024
PTX5K-24XGE-SEED,10/04/2019,03/31/2023
"PSM-PTX-DC-120-BB, PSM-PTX-DC-120-R, PSM-PTX-DC-120-S",10/04/2019,09/01/2020
"PDU-PTX-AC-D-BB, PDU-PTX-AC-D-R, PDU-PTX-AC-D-S, PDU-PTX-DC-120-BB, PDU-PTX-DC-120-R, PDU-PTX-DC-120-S, PDU-PTX-DC-60-BB, PDU-PTX-DC-60-R, PDU-PTX-DC-60-S, PSM-PTX-AC-BB, PSM-PTX-AC-R",10/04/2019,10/04/2024
PSM-PTX-AC-S,10/04/2019,09/30/2021
"CHAS-MP-PTX5000-S, PDU-PTX-AC-W-BB, PDU-PTX-AC-W-R, PDU-PTX-AC-W-S",06/30/2018,12/30/2024
"PSM-PTX-DC-60-BB, PSM-PTX-DC-60-S, PSM-PTX-DC-60-R",08/22/2018,08/31/2023
"CFP-100GBASE-ER4, CFP-40GBASE-LR4",12/31/2017,03/31/2023
P1-PTX-2-100G-WDM,02/28/2017,07/15/2021
CFP-100GBASE-LR4,02/12/2016,12/01/2022
PTX5000BASE,11/01/2015,12/30/2024
"FPC-PTX-P1-A, SIB-I-PTX5008",11/01/2015,05/01/2021
CFP2-100G-SR10-D,06/19/2015,07/30/2016
"S-QFX5K-C1-IFA-1, S-QFX5K-C2-IFA-1",04/15/2023,04/28/2023
"QFX5100-48TH-CHAS, QFX5100-48SH-CHAS",01/15/2023,07/01/2027
"JFRONT-PANEL-16, JFRONT-PANEL-8, JNP10002-60C-CHAS, JNP10002-FAN1, QFX10000-18Q, QFX10000-30C, QFX10000-30C-M, QFX10000-36Q, QFX10000-60S-6Q, QFX10000-LC-BLNK, QFX10000-RE, QFX10000-SSD-100GB, QFX10000-SSD-50GB, QFX10002-36Q, QFX10002-36Q-CHAS, QFX10002-36Q-DC, QFX10002-36Q-T, QFX10002-60C, QFX10002-60C-DC, QFX10002-72Q, QFX10002-72Q-CHAS, QFX10002-72Q-DC, QFX10002-72Q-T, QFX10002-FAN, QFX10008-BASE, QFX10008-BASE-H, QFX10008-BASE-T, QFX10008-CHAS, QFX10008-FAN, QFX10008-FAN-CTRL, QFX10008-REDUND, QFX10008-REDUND-DC, QFX10008-REDUND-H, QFX10008-REDUND-T, QFX10008-SF, QFX10008-SF-BLNK, QFX10000-30C, QFX10000-30C-M, QFX10000-36Q, QFX10000-60S-6Q, QFX10000-LC-BLNK",06/13/2022,12/31/2030
"QFX5100-96S-AFI, QFX5100-96S-AFI-T, QFX5100-96S-AFO, QFX5100-96S-AFO-T, QFX5100-96S-DC-AFI, QFX5100-96S-DC-AFO, QFX5100-96S-FANAFI, QFX5100-96S-FANAFO",05/25/2022,12/31/2027
QFX5200-48Y-CHAS,03/04/2022,10/15/2026
"JNP10K-LC1104, PTX10K-LC1104, PTX10K-LC1104-1P, PTX10K-LC1104-2P, QFX10K-12C-DWDM, QFX10K-12C-DWDM-L, QFX10K-1P-DWDM, QFX10K-2P-DWDM, S-PTX10K-LC1104-1P, S-PTX10K-LC1104-6P, S-QFX10K-1P-DWDM",12/15/2021,01/15/2027
QFX-VCF-LIC,10/15/2021,06/30/2025
"QFX5000-35-JAS, QFX5000-35-JPS",04/19/2021,N/A
"QFX5100-24Q-3AFI, QFX5100-24Q-3AFI-T, QFX5100-24Q-3AFO, QFX5100-24Q-3AFO-T, QFX5100-24Q-AFI, QFX5100-24Q-AFO, QFX5100-24Q-D-3AFI, QFX5100-24Q-D-3AFO, QFX5100-24Q-DC-AFI, QFX5100-24Q-DC-AFO, QFX5100-48S-3AFI, QFX5100-48S-3AFI-T, QFX5100-48S-3AFO, QFX5100-48S-3AFO-T, QFX5100-48S-AFI, QFX5100-48S-AFO, QFX5100-48S-D-3AFI, QFX5100-48S-D-3AFO, QFX5100-48S-DC-AFI, QFX5100-48S-DC-AFO, QFX5100-48SH-AFI, QFX5100-48SH-AFO, QFX5100-48T-AFI, QFX5100-48T-AFI-T, QFX5100-48T-AFO, QFX5100-48T-AFO-T, QFX5100-48T-DC-AFI, QFX5100-48T-DC-AFO, QFX5100-48TH-AFI, QFX5100-48TH-AFO",04/30/2021,07/01/2027
"QFX5200-48Y-AFI, QFX5200-48Y-AFI-T, QFX5200-48Y-AFO, QFX5200-48Y-AFO-T, QFX5200-48Y-DC-AFI, QFX5200-48Y-DC-AFO, QFX520048Y-RKMT",04/15/2021,10/15/2026
"QFX3008-FAB-DRCTR-BNDL, QFX3100-2RU, QFX3100-FANA, QFX3100-GBE-ACR, QFX3100-GBE-SFP-ACR, QFX3100-HDD-2TB, QFX3100-NM-4GE, QFX3100-NM-4GE-SFP, QFX3100-PWRAC-560A",02/19/2021,12/31/2023
"QFX5210-64C-AFI-T, QFX5210-64C-AFI, QFX5210-64C-AFO-T, QFX5210-64C-AFO, QFX5210-64C-DC-AFI, QFX5210-64C-DC-AFO, QFX5200-32C-AFI, QFX5200-32C-AFI-T, QFX5200-32C-AFO, QFX5200-32C-AFO-T, QFX5200-32C-DC-AFI, QFX5200-32C-DC-AFO, QFX5K-C2-AFL, QFX5K-C2-PFL",01/20/2021,N/A
"QFX5110-32Q-AFI, QFX5110-32Q-AFI-T, QFX5110-32Q-AFO, QFX5110-32Q-AFO-T, QFX5110-32Q-DC-AFI, QFX5110-32Q-DC-AFO, QFX5110-48S-AFI, QFX5110-48S-AFI-T, QFX5110-48S-AFO, QFX5110-48S-AFO-T, QFX5110-48S-DC-AFI, QFX5110-48S-DC-AFO, QFX5120-48Y-AFI, QFX5120-48Y-AFO, QFX5120-48Y-DC-AFI, QFX5120-48Y-DC-AFO, QFX5K-C1-PFL, QFX5K-C1-AFL",01/20/2021,N/A
"QFX10016-PFL, QFX10016-AFL, QFX10002-36Q-PFL, QFX10002-36Q-AFL, QFX10002-60C-PFL, QFX10002-60C-AFL, QFX10002-72Q-PFL, QFX10002-72Q-AFL, QFX10008-PFL, QFX10008-AFL",01/15/2021,N/A
"QFX3008-SF16Q, QFX3008-SR1, QFXC08-ACTRAY-C19, QFXC08-CB4S, QFXC08-FANB, QFXC08-FANS, QFXC08-FANT, QFXC08-CHASA",09/30/2020,12/07/2020
"QFXC08-ACTRAY-D, QFXC08-ACTRAY-W, QFXC08-CABMAN, QFXC08-CHASA, QFXC08-DOOR",09/30/2020,03/31/2021
"QFX5100-24Q-AA-AFI, QFX5100-24Q-AA-AFO, QFX-PFA-4Q",08/20/2020,08/31/2025
QFXC08-PWRAC-4000,09/16/2019,12/31/2020
"QFX3008-CHASA-BASE, QFX3008-CHASA-AC1, QFX3008-FAB-2INTC-BNDL",09/16/2019,12/07/2020
QFX3008-FAB-8NODE-BNDL,04/15/2019,05/01/2021
"QFX3000-JSL-EDGE-FAB, QFX3000M-JSL-DRCTR-FAB, QFX3008-JSL-DRCTR-FAB, QFX-JSL-DRCTR-ADV1, QFX-JSL-DRCTR-FC, QFX-JSL-DRCTR-FC-C16",03/28/2019,12/31/2023
QFX3008-FAB-CPE-BNDL,02/01/2019,06/30/2024
"QFX3600-16Q-ACR, QFX3600-16Q-ACRB, QFX3600-16Q-AFI, QFX3600-16Q-AFO, QFX3600-I-16Q-ACR, QFX3600-I-16Q-ACRB, QFX3600-I-16Q-AFI, QFX3600-I-16Q-AFO, QFX3500-FAN-AFO, QFX3500-FANAI, QFX3500-MB, QFX3500-MB-RJ45-AFO, QFX3500-MB-SFP-AFI, QFX3500-MB-SFP-AFO, QFX3500-RB-AFOS, QFX3600-16Q-AFIS, QFX3600-16Q-AFOS, QFX3600-I-16Q-AFIS, QFX3600-I-16Q-AFOS, QFXC01-FANBI, QFXC01-FANBO, QFX3500-48S4Q-AFOS, QFX3500-48S4Q-ACR, QFX3500-48S4Q-ACR-F, QFX3500-48S4Q-ACRB, QFX3500-48S4Q-ACRB-F, QFX3500-48S4Q-AFI, QFX3500-48S4Q-AFO, QFX3500-ACR-BNDL, QFX3500-ACRB-BNDL, QFX3500-RB-ACRB, QFX3500-RB-ACRB-F, QFX3500-RB-AFO",11/01/2015,12/31/2022
"QFX3500-48S4Q, QFX3500-RB-RMK, QFX3500-RMAR, QFXC01-PWRACI-650A, QFXC01-RMBM, QFX-NODE-KIT",11/01/2015,05/01/2021
"SBR-HLR-SIG, SBR-HLR-SIGADD, SBR-HLR-SIG-ADDASC, SBR-CAR-AAA, SBR-CAR-SIM, SBR-CAR-WMM, SBR-CAR-JSC, SBR-CAR-ADD-50K, SBR-CAR-ADD-100K, SBR-CAR-ADD-250K, SBR-CAR-ADD-500K, SBR-CAR-ADD-1M, SBR-CAR-ADD-2M, SBR-CAR-AAA-LAB, SBR-CAR-SIM-LAB, SBR-CAR-WMM-LAB, SBR-CAR-JSC-LAB, SBR-CAR-SCM, SBR-CAR-CWM, SBR-SSR-START, SBR-SSR-EXP, SBR-SSR-MNGMT, SBR-CAR-SCM-LAB, SBR-CAR-CWM-LAB, SBR-HLR-SIG-MIG-LX, SBR-CAR-AAA-LX, SBR-HLR-SIGADD-LX, SBR-HLR-SIG-LX, SBR-HLR-SIG-ADDASC-LX, SBR-CAR-AAA-LX-LAB, SBR-SSR-UPG, SBR-SSR-LIMITED, SBR-CAR-TPS-500, SBR-CAR-TPS-2000, SBR-CAR-TPS-5000, SBR-CAR-TPS-10000, SBR-CAR-TPS-UNLIM, SBR-CAR-TPS-1000, SBR-CAR-DIA, SBR-CAR-DIA-LAB",08/31/2020,09/30/2023
"SBR-HLR-BOARD, SBR-HLR-BOARD2, SBR-HLR-SS7, SBR-HLR-SS7BOARD, SBR-HLR-SS7BOARD2",04/30/2015,07/30/2020
"B-SDWAN-B-A1-1, B-SDWAN-B-A2-1, B-SDWAN-B-B1-1, B-SDWAN-B-C1-1, B-SDWAN-B-D1-1, B-SDWAN-B-E1-1, B-SDWAN-B-F1-1, B-SDWAN-B-G1-1, B-SDWAN-P-A1-1, B-SDWAN-P-B1-1, B-SDWAN-P-B2-1, B-SDWAN-P-C1-1, B-SDWAN-P-C2-1, B-SDWAN-P-D1-1, B-SDWAN-P-D2-1, SDWAN-B-AS-1, SDWAN-B-BS-1, SDWAN-B-CS-1, SDWAN-B-DS-1, SDWAN-B-ES-1, SDWAN-B-GS-1",04/05/2019,04/30/2020
"B-SDWAN-B-A1-3, B-SDWAN-B-A2-3, B-SDWAN-B-B1-3, B-SDWAN-B-C1-3, B-SDWAN-B-D1-3, B-SDWAN-B-E1-3, B-SDWAN-B-F1-3, B-SDWAN-B-G1-3, B-SDWAN-P-A1-3, B-SDWAN-P-B1-3, B-SDWAN-P-B2-3, B-SDWAN-P-C1-3, B-SDWAN-P-C2-3, B-SDWAN-P-D1-3, B-SDWAN-P-D2-3, SDWAN-B-AS-3, SDWAN-B-BS-3, SDWAN-B-CS-3, SDWAN-B-DS-3, SDWAN-B-ES-3, SDWAN-B-GS-3",04/05/2019,04/30/2022
"B-SDWAN-B-A1, B-SDWAN-B-A2, B-SDWAN-B-B1, B-SDWAN-B-C1, B-SDWAN-B-D1, B-SDWAN-B-E1, B-SDWAN-B-F1, B-SDWAN-B-G1, B-SDWAN-P-A1, B-SDWAN-P-B1, B-SDWAN-P-B2, B-SDWAN-P-C1, B-SDWAN-P-C2, B-SDWAN-P-D1, B-SDWAN-P-D2",04/05/2019,N/A
"S-SD-1-C-1, S-SD-1-C-3, S-SD-1-C-5",02/15/2023,N/A
"SPOT-CC-1500-1Y, SPOT-CC-1500-3Y, SPOT-CC-240-1Y, SPOT-CC-240-3Y, SPOT-CC-240-5Y, SPOT-CC-300-1Y, SPOT-CC-300-3Y, SPOT-CC-320-1Y, SPOT-CC-320-3Y, SPOT-CC-340-1Y, SPOT-CC-340-3Y, SPOT-CC-345-1Y, SPOT-CC-345-3Y, SPOT-CC-4100-1Y, SPOT-CC-4100-3Y, SPOT-CC-4200-1Y, SPOT-CC-4200-3Y, SPOT-CC-5400-1Y, SPOT-CC-5400-3Y, SPOT-CC-5400-5Y, SPOT-CC-550-1Y, SPOT-CC-550-3Y, SPOT-CC-550-5Y, SPOT-CC-5600-1Y, SPOT-CC-5600-3Y, SPOT-CC-5600-5Y, SPOT-CC-5800-1Y, SPOT-CC-5800-3Y, SPOT-CC-5800-5Y, SPOT-CC-650-1Y, SPOT-CC-650-3Y, SPOT-CC-650-5Y, SPOT-LOCAL-240, SPOT-LOCAL-4100, SPOT-LOCAL-4200, SPOT-LOCAL-5400, SPOT-LOCAL-550, SPOT-LOCAL-5600, SPOT-LOCAL-5800, SPOT-LOCAL-650",07/15/2021,12/01/2021
"SRC-PE-SW-VSRC, SRC-COA-LIC, SRC-CXKDG-LIC, SRC-CXKSG-LIC, SRC-PE1000K-LIC, SRC-PE1000KU-LIC, SRC-PE100K-LIC, SRC-PE100KU-LIC, SRC-PE200K-LIC, SRC-PE500K-LIC, SRC-PE50K-LIC, SRC-PE50KU-LIC, SRC-PE-ACP-LIC, SRC-PE-GY, SRC-PE-HA-LIC, SRC-TMP-APP, SRC-VTA-APP",08/31/2020,03/31/2023
"SRC-C2KPE-SYS, SRC-C4KPE-SYS",05/24/2011,05/24/2016
SRX-CFP-100G-SR10,04/15/2023,04/15/2026
"SRX600-PWR-645DC-POE, SRX600-PWR-645AC-POE, SRX550-M-SYS-JE-DC, SRX550-M-SYS-JE-AC, SRX550-CHAS-M, SRX550-645DP-M-TAA, SRX550-645DP-M, SRX550-645AP-M-TAA, SRX550-645AP-M",09/15/2022,03/15/2028
SRX-GP-1DS3-E3,03/18/2022,03/18/2027
SRX100-APPSEC-A-3,10/31/2021,12/31/2022
"SRX1XX-K-AV, SRX1XX-SMB4-CS, SRX210-K-AV, SRX210-SMB4-CS, SRX220-K-AV, SRX220-SMB4-CS, SRX240-K-AV, SRX240-SMB4-CS, SRX550-K-AV, SRX550-SMB4-CS, SRX650-K-AV, SRX650-SMB4-CS",10/31/2021,11/30/2023
"SRX1XX-APPSEC-A-1, SRX210-APPSEC-A-1, SRX220-APPSEC-A-1, SRX240-APPSEC-A-1, SRX550-APPSEC-A-1, SRX650-APPSEC-A-1, SRX1XX-S2-AS, SRX1XX-S-AV, SRX1XX-S-SMB4-CS, SRX1XX-W-EWF, SRX210-S2-AS, SRX210-S-AV, SRX210-S-SMB4-CS, SRX210-W-EWF, SRX220-S2-AS, SRX220-S-AV, SRX220-S-SMB4-CS, SRX220-W-EWF, SRX240-S2-AS, SRX240-S-AV, SRX240-S-SMB4-CS, SRX240-W-EWF, SRX550-S2-AS, SRX550-S-AV, SRX550-S-SMB4-CS, SRX550-W-EWF, SRX650-S2-AS, SRX650-S-AV, SRX650-S-SMB4-CS, SRX650-W-EWF, SRX550-ATP-1",10/31/2021,11/30/2024
"SRX1XX-APPSEC-A-3, SRX210-APPSEC-A-3, SRX220-APPSEC-A-3, SRX240-APPSEC-A-3, SRX550-APPSEC-A-3, SRX550-APPSEC-A-5, SRX650-APPSEC-A-3, SRX1XX-K-AV-3, SRX1XX-S2-AS-3, SRX1XX-S-AV-3, SRX1XX-SMB4-CS-3, SRX1XX-S-SMB4-CS-3, SRX1XX-W-EWF-3, SRX210-K-AV-3, SRX210-S2-AS-3, SRX210-S-AV-3, SRX210-SMB4-CS-3, SRX210-S-SMB4-CS-3, SRX210-W-EWF-3, SRX220-K-AV-3, SRX220-S2-AS-3, SRX220-S-AV-3, SRX220-SMB4-CS-3, SRX220-S-SMB4-CS-3, SRX220-W-EWF-3, SRX240-K-AV-3, SRX240-S2-AS-3, SRX240-S-AV-3, SRX240-SMB4-CS-3, SRX240-S-SMB4-CS-3, SRX240-W-EWF-3, SRX550-K-AV-3, SRX550-K-AV-5, SRX550-S2-AS-3, SRX550-S2-AS-5, SRX550-S-AV-3, SRX550-S-AV-5, SRX550-SMB4-CS-3, SRX550-SMB4-CS-5, SRX550-S-SMB4-CS-3, SRX550-S-SMB4-CS-5, SRX550-W-EWF-3, SRX550-W-EWF-5, SRX650-K-AV-3, SRX650-S2-AS-3, SRX650-S-AV-3, SRX650-SMB4-CS-3, SRX650-S-SMB4-CS-3, SRX650-W-EWF-3, SRX550-ATP-3, SRX550-ATP-5",10/31/2021,11/30/2023
"SRX5600-APPSEC1-BB, SRX5800-APPSEC1-BB",10/06/2021,08/30/2027
"SRX5400-CHAS, SRX5600-CHAS, SRX5600-CRAFT, SRX5800-CHAS, SRX5800-CRAFT, SRX5400X-BASE, SRX5600X-BASE, SRX5800X-BASE, SRX5K-RE-1800X4, SRX5K-RE-1800X4-BB, SRX5K-RE-1800X4-R, SRX5K-RE2-CF, SRX5K-RE2-SSD, SRX5K-MPC, SRX5K-MPC-BB, SRX5K-MPC-BLANK, SRX5K-MPC-R, SRX-MIC-10XG-BB, SRX-MIC-10XG-R, SRX-MIC-10XG-SFPP, SRX-MIC-1X100G-CFP, SRX-MIC-1X100G-R, SRX-MIC-20GE-SFP, SRX-MIC-20GE-SFP-R, SRX-MIC-2X40G-QSFP, SRX-MIC-2X40G-R, SRX5400X-B1, SRX5400X-B10-AC, SRX5400X-B10-DC, SRX5400X-B2, SRX5400X-B3, SRX5400X-B5-AC, SRX5400X-B5-DC, SRX5400X-B6-AC, SRX5400X-B6-DC, SRX5400X-B7-AC, SRX5400X-B7-DC, SRX5600-APPSEC1-BB, SRX5600X-B10-AC, SRX5600X-B10-DC, SRX5800-APPSEC1-BB, SRX5800X-B10-AC, SRX5800X-B10-DC, SRX5K-SPC-4-15-320, SRX5K-SPC-4-15-BB, SRX5K-SPC-4-15-R, SRX5K-SVCS-OFFLOAD-RTU, SRX5400X-B5-AC-BB, SRX5400X-B5-DC-BB, SRX5400X-B6-AC-BB, SRX5400X-B6-DC-BB, SRX5400X-B7-AC-BB, SRX5400X-B7-DC-BB, SRX-S-SPC-4-15-320",10/06/2021,08/30/2027
"SRX5800E-BASE-DC, SRX5800E-BASE-AC, SRX5800E-B1-AC-TAA, SRX5600E-BASE-DC, SRX5600E-BASE-AC, SRX5600E-B1-AC-TAA, SRX5400E-B5-DC-BB, SRX5400E-B5-AC-BB, SRX5400E-B2-DC, SRX5400E-B2-AC, SRX5400E-B1-DC, SRX5400E-B1-DC-TAA, SRX5400E-B1-AC, SRX5400E-B1-AC-TAA, SRX5400E-B5-AC, SRX5400E-B5-DC",09/29/2021,08/30/2027
SRX5K-SCBE,09/29/2021,09/29/2026
"SRX1500-ATP-1, SRX1500-ATP-3, SRX1500-ATP-5, SRX300-ATP-1, SRX300-ATP-3, SRX320-ATP-1, SRX320-ATP-3, SRX340-ATP-1, SRX340-ATP-3, SRX340-ATP-5, SRX345-ATP-1, SRX345-ATP-3, SRX345-ATP-5, SRX4100-ATP-1, SRX4100-ATP-3, SRX4100-ATP-5, SRX4200-ATP-1, SRX4200-ATP-3, SRX4200-ATP-5, SRX4600-ATP-1, SRX4600-ATP-3, SRX4600-ATP-5, SRX5400-ATP-1, SRX5400-ATP-3, SRX5400-ATP-5, SRX5600-ATP-1, SRX5600-ATP-3, SRX5600-ATP-5, SRX5800-ATP-1, SRX5800-ATP-3, SRX5800-ATP-5",09/15/2021,N/A
